temperature-(celsius),year,month,country,ISO3
-19.883,1927,Mar,Russian Federation,RUS
-7.0077,1927,Apr,Russian Federation,RUS
3.87112,1927,May,Russian Federation,RUS
11.5972,1927,Jun,Russian Federation,RUS
14.3151,1927,Jul,Russian Federation,RUS
12.1041,1927,Aug,Russian Federation,RUS
6.84854,1927,Sep,Russian Federation,RUS
-3.8998,1927,Oct,Russian Federation,RUS
-16.341,1927,Nov,Russian Federation,RUS
-25.932,1927,Dec,Russian Federation,RUS
-27.083,1928,Jan,Russian Federation,RUS
-24.64,1928,Feb,Russian Federation,RUS
-18.867,1928,Mar,Russian Federation,RUS
-7.5899,1928,Apr,Russian Federation,RUS
1.86798,1928,May,Russian Federation,RUS
10.397,1928,Jun,Russian Federation,RUS
14.5329,1928,Jul,Russian Federation,RUS
12.8083,1928,Aug,Russian Federation,RUS
5.59684,1928,Sep,Russian Federation,RUS
-4.6182,1928,Oct,Russian Federation,RUS
-18.019,1928,Nov,Russian Federation,RUS
-24.315,1928,Dec,Russian Federation,RUS
-29.299,1929,Jan,Russian Federation,RUS
-27.453,1929,Feb,Russian Federation,RUS
-18.202,1929,Mar,Russian Federation,RUS
-8.1515,1929,Apr,Russian Federation,RUS
2.32214,1929,May,Russian Federation,RUS
10.4663,1929,Jun,Russian Federation,RUS
14.5928,1929,Jul,Russian Federation,RUS
12.1262,1929,Aug,Russian Federation,RUS
4.89236,1929,Sep,Russian Federation,RUS
-3.8009,1929,Oct,Russian Federation,RUS
-16.588,1929,Nov,Russian Federation,RUS
-27.416,1929,Dec,Russian Federation,RUS
-23.655,1930,Jan,Russian Federation,RUS
-27.199,1930,Feb,Russian Federation,RUS
-16.241,1930,Mar,Russian Federation,RUS
-8.4738,1930,Apr,Russian Federation,RUS
1.99412,1930,May,Russian Federation,RUS
10.7178,1930,Jun,Russian Federation,RUS
14.5224,1930,Jul,Russian Federation,RUS
12.6372,1930,Aug,Russian Federation,RUS
5.00497,1930,Sep,Russian Federation,RUS
-5.1543,1930,Oct,Russian Federation,RUS
-15.166,1930,Nov,Russian Federation,RUS
-26.55,1930,Dec,Russian Federation,RUS
-30.755,1931,Jan,Russian Federation,RUS
-27.86,1931,Feb,Russian Federation,RUS
-17.259,1931,Mar,Russian Federation,RUS
-8.9621,1931,Apr,Russian Federation,RUS
2.21678,1931,May,Russian Federation,RUS
11.2037,1931,Jun,Russian Federation,RUS
15.2058,1931,Jul,Russian Federation,RUS
12.8302,1931,Aug,Russian Federation,RUS
6.48058,1931,Sep,Russian Federation,RUS
-2.7747,1931,Oct,Russian Federation,RUS
-16.599,1931,Nov,Russian Federation,RUS
-23.563,1931,Dec,Russian Federation,RUS
-23.225,1932,Jan,Russian Federation,RUS
-24.387,1932,Feb,Russian Federation,RUS
-17.662,1932,Mar,Russian Federation,RUS
-5.6523,1932,Apr,Russian Federation,RUS
2.15395,1932,May,Russian Federation,RUS
10.7417,1932,Jun,Russian Federation,RUS
15.4639,1932,Jul,Russian Federation,RUS
12.7827,1932,Aug,Russian Federation,RUS
